canonical_name,kcal,protein_g,carb_g,fat_g,source
havregryn,370,13.0,58.0,7.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
vetemjöl,353,10.0,73.0,1.5,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
tortillabröd,310,8.3,53.0,6.5,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
kokosmjölk,190,1.8,2.7,19.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
matlagningsgrädde,160,3.0,4.0,15.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
crème fraiche,300,2.4,2.8,30.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
naturell yoghurt,61,3.5,4.7,3.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
fetaost,270,16.0,0.7,23.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
riven ost,360,27.0,0,28.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
parmesan,431,38.0,4.1,29.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
gul lök,39,1.2,7.3,0.1,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
röd lök,38,1.2,7.0,0.1,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
purjolök,30,1.5,4.8,0.3,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
vitlök,160,6.4,31.0,0.5,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
ingefära färsk,80,1.8,15.8,0.8,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
morot,36,0.7,7.2,0.2,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
paprika röd,29,1.0,4.4,0.3,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
broccoli,34,3.5,3.1,0.4,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
blomkål,24,1.9,2.7,0.2,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
zucchini,16,1.2,2.2,0.2,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
aubergine,24,1.0,3.1,0.2,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
tomat,18,0.9,2.6,0.2,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
krossad tomat,28,1.4,4.2,0.2,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
tomatpuré,82,4.3,14.0,0.5,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
gurka,13,0.7,1.8,0.1,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
vitkål,27,1.4,4.7,0.2,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
spenat färsk,23,2.9,0.8,0.4,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
grönkål,50,3.3,4.4,1.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
champinjon,26,2.5,2.9,0.3,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
fryst ärta,70,5.2,8.8,0.7,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
majs,93,3.2,16.0,1.2,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
avokado,160,2.0,1.8,15.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
äpple,52,0.3,12.0,0.2,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
banan,101,1.1,22.0,0.3,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
citron,30,1.1,3.2,0.3,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
lime,30,0.7,1.7,0.2,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
rapsolja,884,0,0,100,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
olivolja,884,0,0,100,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
smör,744,0.6,0.6,82.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
jordnötssmör,615,26.0,12.0,50.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
cashewnöt,590,18.0,27.0,44.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
mandel,609,20.0,13.0,52.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
sesamfrö,573,18.0,11.7,50.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
sojasås,53,8.1,4.9,0.6,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
fisksås,35,5.0,3.5,0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
honung,320,0.3,79.5,0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
strösocker,400,0,100,0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
koriander färsk,23,2.1,0.9,0.5,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
persilja färsk,36,3.0,3.0,0.8,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
basilika färsk,23,3.2,1.1,0.6,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
spiskummin malen,375,18.0,44.0,22.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
paprikapulver,282,14.0,34.0,13.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
currypulver,325,14.0,28.0,14.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
salt,0,0,0,0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
svartpeppar,251,10.0,39.0,3.3,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
